"Please update your Magento to version 2.2 or newer to make this setting available.","Please update your Magento to version 2.2 or newer to make this setting available."
"Payment Method","Payment Method"
"Payment Page","Payment Page"
"Below Shipping Address","Below Shipping Address"
Classic,Classic
Modern,Modern
"1 Column","1 Column"
"2 Columns (1 Column with a Fixed Order Summary Sidebar)","2 Columns (1 Column with a Fixed Order Summary Sidebar)"
"3 Columns","3 Columns"
"Below the Selected Payment Method","Below the Selected Payment Method"
"Below the Order Total","Below the Order Total"
Attention,Attention
OK,OK
"Place Order","Place Order"
"Please update or cancel Billing Address Form.","Please update or cancel Billing Address Form."
"Please update or cancel Shipping Address Form.","Please update or cancel Shipping Address Form."
"No payment method selected","No payment method selected"
"No shipping method selected","No shipping method selected"
"Checkout Design","Checkout Design"
"Checkout Page Layout","Checkout Page Layout"
"Display Billing Address On","Display Billing Address On"
"Place Order Button Position","Place Order Button Position"
"Please keep in mind that some payment methods may override this option, thus for such methods the button may remain in Payment Methods block regardless of this option's value.","Please keep in mind that some payment methods may override this option, thus for such methods the button may remain in Payment Methods block regardless of this option's value."
